"","SurveyType","UniqueID_long","UniqueID_short","TimeTaken","StartDate","StartTime","CompletionDate","CompletionTime","Q1_aware_stork","Q2_photo_recog","Q2_photo_recog_score","Q3_is_native","Q3_is_native_explain","Q4.1_migrate","Q4.1_migrate_score","Q4.2_wingspan","Q4.2_wingspan_score","Q4.3_globallyrare","Q4.3_globallyrare_score","Q4_overallscore","Q5a_amphibians_diet","Q5b_birdeggs.chicks_diet","Q5c_carrion_diet","Q5d_fish_diet","Q5e_foodwaste_diet","Q5f_fruit_diet","Q5g_inverts_diet","Q5h_reptiles_diet","Q5i_seeds_diet","Q5j_smallmammals_diet","Q5k_vegetation_diet","Q5l_Don.tKnow_diet","Q5_rawscore_diet","Q5_diet_overallscore","Q6a_farmland_habitat","Q6b_grassland_habitat","Q6c_wetlands_habitat","Q6d_woodland_habitat","Q6e_urban_habitat","Q6f_Don.tKnow_habitat","Q6_habitat_rawscore","Q6_habitat_overallscore","Q7a_chimneys_nesting","Q7b_ground_nesting","Q7c_roofs_nesting","Q7d_telegraphpoles_nesting","Q7e_trees_nesting","Q7f_Don.tKnow_nesting","Q7_nesting_rawscore","Q7_nesting_overallscore","KnowledgeScore","Q8_wild_seen","Q8_captivity_seen","Q8_pictures_video","Q8_No","Q8_NotSure","Q8.1_UK","Q8.1_OutsideUK","Q8.2_feelings","Q9_heard","Q9a_what_heard","Q10_project_knowledge","Q10a_WSPwebsite","Q10a_Socialmedia","Q10a_TV.Radio","Q10a_Newspaper","Q10a_Email","Q10a_Magazine","Q10a_Leaflet","Q10a_spokesperson","Q10a_VisitingKnepp","Q10a_Wordofmouth","Q10a_Other","Q10a_Other_open","Q10b_WSPwebsite","Q10b_Socialmedia","Q10b_TV.Radio","Q10b_Newspaper","Q10b_Email","Q10b_Magazine","Q10b_Leaflet","Q10b_spokesperson","Q10b_NotInterested","Q10b_Other","Q10b_Other_open","Q11_word1","Q11_word2","Q11_word3","Q12.1..White.storks.symbolise.the.beauty.of.nature.","Q12.1_agreement_score","Q12.2..White.storks.play.an.important.role.in.their.environment.","Q12.2_agreement_score","Q12.3..Reintroduced.white.storks.may.have.a.negative.impact.on.my.life.","Q12.3_agreement_score","Q12.4..I.do.not.want.white.storks.living.near.me.","Q12.4_agreement_score","Q12.5..White.storks.in.England.could.benefit.the.tourism.industry.where.they.re.found.","Q12.5_agreement_score","Q13.1..I.would.find.it.exciting.to.see.white.storks.in.the.wild.in.England.","Q13.1_agreement_score","Q13.2..White.storks.symbolise.hope..rebirth.and.new.life.","Q13.2_agreement_score","Q13.3..Money.spent.reintroducing.white.storks.would.be.better.spent.elsewhere.","Q13.3_agreement_score","Q13.4..White.storks.might.be.detrimental.to.local.wildlife.","Q13.4_agreement_score","Q13.5..There.is.no.need.to.reintroduce.the.white.stork.to.England.as.it.is.a.common.species.throughout.mainland.Europe.","Q13.5_agreement_score","Q14.1..I.think.white.storks.are.useless.birds.","Q14.1_agreement_score","Q14.2..White.storks.are.part.of.our.cultural.and.natural.heritage.","Q14.2_agreement_score","Q14.3..The.reintroduced.white.stork.can.help.people..re.connect.with.the.natural.world.","Q14.3_agreement_score","Q14.4..The.countryside.will.be.worse.off.with.white.storks.around.","Q14.4_agreement_score","OverallAttitudeScore","Q14.5..Overall..I.support.efforts.that.aim.to.reintroduce.the.UK.s.lost.species.and.restore.its.natural.systems.","Q14.5_agreement_score","Q15_WSP_support","Q15_WSP_support_open","Q16_views_management","Q16_views_management_open","Q17.1_Nest_monitoring","Q17.2_Nesting_platforms","Q17.3_Discouragenestbuilding","Q17.4_Nest_removal","Q17.5_Tracking","Q17.6_Public_engagement","Q17.7_Supplementary_food","Q17.8_compensation_storkdamage","Q17.9_Stork_relocation","Q17.10_Culling","Q17_11.management.not.needed","Q17.12_Don.tknow","Q17.13_other","Q17.13a_other_open","Q18_exp_nature","Q18a_dogwalking","Q18a_walking","Q18a_running.cycling","Q18a.golf","Q18a.picnic","Q18a.horse.riding","Q18a.bird.wildlife.watching","Q18a.photography","Q18a.camping","Q18a.fishing","Q18a.shooting.hunting","Q18a.water.sports.swimming","Q18a.gardening","Q18a.don.t.spend.free.time.in.green.natural.spaces","Q18a_other","Q18a_other_open","Q19.1..I.find.being.in.nature.really.amazing","Q19.1.score","Q19.2..Spending.time.in.nature.is.very.important.to.me","Q19.2.score","Q19.3..Being.in.nature.makes.me.very.happy","Q19.3.score","Q19.4..I.always.find.beauty.in.nature","Q19.4.score","Q19.5..I.always.treat.nature.with.respect","Q19.5.score","Q19.6..I.feel.part.of.nature","Q19.6.score","NCI","Q20.1..Damage.to.the.natural.environment","Q20.2..The.consequences.of.a.loss.of.variety.of.wildlife","EnvConcern.score","Q21.1..When.I.see.litter..I.pick.it.up","Q21.1.score","Q21.2..I.vote.for.nature.or.wildlife.conservation.friendly.legislation.in.local.or.national.referendums.votes.etc.","Q21.2.score","Q21.3..I.get.in.touch.with.local.authorities.on.nature.conservation.issues","Q21.3.score","Q21.4..I.vote.for.parties..candidates.with.strong.pro.nature.conservation.policies.in.elections","Q21.4.score","ProCoBS","Q22....Are.you.a.member.of.any.environmental..wildlife.or.conservation.organisations.","Q22.a..Which.ones...Optional..","Q23.1..I.pay.attention.to.birds.wherever.I.go.","Q23.1..Score","Q23.2..I.can.identify.common.birds.in.my.area.","Q23.2.Score","Q23.3..Seeing.a.new.bird.fills.me.with.excitement.","Q23.3.Score","Q23.4..I.am.not.interested.in.birds.","Q24.4.score","BirdInterestScore","Age_group","Gender","Gender_other","Region","County","Area_type","Postcode","ReleaseSite","Q27_Knepp_visit","Q27.a_Knepp_activity","Q27.a_Knepp_activity_other","Education","Education_other","Occupation","Occupation_other","Q30_Press","Q30_TV.Radio","Q30_Facebook","Q30_Twitter","Q30_Social_media","Q30_Durrell.WSP","Q30_Other_wildlife.nature.org.","Q30_Farming_org.","Q30_Business_org.","Q30_Tourism_org.","Q30_Local_council","Q30_Friend.family","Q30_Researcher","Q30_other","Q30.a_Other_open","Q31_comments","Age_group_match","SecsTaken"
"3132","NatRep","692676-692667-71740208",739,"00:04:12","03/02/2021","12:25:36","03/02/2021","12:29:48","No","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,1,1,1,0,0,2,0.4,1.4,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,1,0,0,0,0,0,0,0,0,"","Bird","","","Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,5,"Strongly agree",5,"Yes","","Yes","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,59,"Concerned","Concerned",8,"Very Frequently",6,"Very Frequently",6,"Rarely",2,"Frequently",5,19,"No","","Agree",4,"Agree",4,"Agree",4,"Strongly disagree",5,17,"25-34","Male","","North West",NA,"Sub-urban","BB10","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Hospitality","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",64
"3141","NatRep","692676-692667-71740590",748,"00:05:09","03/02/2021","12:29:40","03/02/2021","12:34:49","No","D",0,"Not sure","No nothing about this subject","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,0,0,1,1,0,1,0,0,6,0.5,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,1.1,0,0,0,0,1,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,1,0,0,0,0,0,"","","","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Not sure","I no nothing about this subject","No","I no nothing about this subject",0,0,0,0,0,0,0,0,0,0,0,1,0,"","None",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Completely agree",7,"Agree",5,"Agree",5,"Agree",5,"Completely agree",7,"Neither agree or disagree",4,48,"Extremely concerned","Extremely concerned",10,"Never",1,"Always",7,"Never",1,"Always",7,16,"No","","Disagree",2,"Strongly disagree",1,"Strongly disagree",1,"Agree",2,6,"65+","Male","","Greater London",NA,"Sub-urban","ha8","No","No","","","Further Education","","Office and Administrative Support","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","65+",104
"3158","NatRep","692676-692667-71741864",765,"00:02:53","03/02/2021","12:42:46","03/02/2021","12:45:39","Yes","B",1,"Yes","","TRUE",1,"FALSE",0,"TRUE",0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,"","Yes","","I have heard something but don’t know much",0,0,1,0,0,0,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,"","","","","Disagree",2,"Neutral",3,"Agree",2,"Agree",2,"Strongly agree",5,"Agree",4,"Agree",4,"Neutral",3,"Strongly agree",1,"Agree",2,"Agree",2,"Strongly agree",5,"Neutral",3,"Agree",2,2.86,"Agree",4,"No","","No","",0,1,0,0,0,0,0,0,0,0,0,0,0,"","3-4 days",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Agree",5,"Strongly agree",6,"Strongly agree",6,"Agree",5,"Neither agree or disagree",4,39,"Concerned","Neither concerned or unconcerned",7,"Occasionally",3,"Sometimes",4,"Occasionally",3,"Occasionally",3,13,"Yes","","Agree",4,"Agree",4,"Neither agree or disagree",3,"Agree",2,13,"25-34","Female","","Wales",NA,"Sub-urban","LL65 2HF","No","Yes","Guided safari","","Further Education","","Computer & Mathematical","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",19
"3164","NatRep","692676-692667-71742196",771,"00:04:51","03/02/2021","12:46:05","03/02/2021","12:50:56","No","D",0,"Not sure","Don’t know","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0.3,0,1,1,0,0,0,4,0.8,0,1,0,0,0,0,0,0,1.1,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,1,0,0,"","long legs","Nice beak","Elegant","Agree",4,"Neutral",3,"Agree",2,"Neutral",3,"Neutral",3,"Agree",4,"Agree",4,"Agree",2,"Neutral",3,"Neutral",3,"Agree",2,"Neutral",3,"Agree",4,"Agree",2,3,"Neutral",3,"Yes","N/a","Not sure","",0,0,0,1,0,0,0,0,0,0,0,0,0,"","3-4 days",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Disagree",3,"Disagree",3,"Disagree",3,14,"Concerned","Neither concerned or unconcerned",7,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Occasionally",3,12,"No","","Agree",4,"Neither agree or disagree",3,"Agree",4,"Neither agree or disagree",3,14,"35-44","Female","","North West",NA,"Urban","BL5","No","No","","","Postgraduate degree (Masters; Doctorate)","","Education","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",90
"3171","NatRep","692676-692667-71742632",778,"00:05:07","03/02/2021","12:50:52","03/02/2021","12:55:59","Yes","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0.4,0,1,0,0,0,0,3,0.6,1,0,1,1,0,0,4,0.8,1.8,0,0,1,0,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,0,0,0,0,0,0,0,0,"","Beautiful","Lovely","Rare","Agree",4,"Agree",4,"Strongly disagree",5,"Strongly disagree",5,"Agree",4,"Strongly agree",5,"Agree",4,"Disagree",4,"Disagree",4,"Disagree",4,"Disagree",4,"Agree",4,"Agree",4,"Disagree",4,4.21,"Strongly agree",5,"Yes","","No","",1,1,0,0,0,1,1,0,0,0,0,0,0,"","None",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Neither agree or disagree",4,"Agree",5,"Agree",5,"Agree",5,"Agree",5,31,"Concerned","Concerned",8,"Never",1,"Frequently",5,"Never",1,"Sometimes",4,11,"No","","Agree",4,"Disagree",2,"Neither agree or disagree",3,"Disagree",4,13,"25-34","Male","","East of England",NA,"Urban","LU2 7","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Healthcare","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",102
"3182","NatRep","692676-692667-71744329",789,"00:04:42","03/02/2021","13:05:12","03/02/2021","13:09:54","No","D",0,"Not sure","","Don't know",0,"Don't know",0,"TRUE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,0,0,0,0,0,1,0,0,"","Cute","","","Strongly agree",5,"Strongly agree",5,"Neutral",3,"Strongly disagree",5,"Neutral",3,"Strongly agree",5,"Neutral",3,"Disagree",4,"Neutral",3,"Neutral",3,"Strongly disagree",5,"Agree",4,"Strongly agree",5,"Disagree",4,4.07,"Strongly agree",5,"Yes","","No","",1,1,0,0,1,1,1,1,0,0,0,0,0,"","5-6 days",1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"","Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,100,"Extremely concerned","Extremely concerned",10,"Occasionally",3,"Frequently",5,"Sometimes",4,"Always",7,19,"No","","Strongly agree",5,"Disagree",2,"Strongly agree",5,"Strongly disagree",5,17,"25-34","Prefer to self-describe","Genderqueer ","South West",NA,"Sub-urban","TR1","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Sales","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",85
"3190","NatRep","692676-692667-71744704",797,"00:05:19","03/02/2021","13:08:59","03/02/2021","13:14:18","No","Don't know",0,"Not sure","I","Don't know",0,"Don't know",0,"Don't know",0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,0.5,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1.1,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","Bird","White","Beak","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3,"Neutral",3,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","None",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,34,"Concerned","Neither concerned or unconcerned",7,"Never",1,"Sometimes",4,"Occasionally",3,"Sometimes",4,12,"No","","Agree",4,"Agree",4,"Neither agree or disagree",3,"Neither agree or disagree",3,14,"35-44","Female","","South East",NA,"Sub-urban","Rg30 ","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Office and Administrative Support","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",113
"3191","NatRep","692676-692667-71744823",798,"00:05:23","03/02/2021","13:10:08","03/02/2021","13:15:31","Yes","D",0,"Yes","","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,3,0,0,0,1,0,NA,NA,"","No","","I have heard something but don’t know much",0,0,0,0,0,0,0,0,0,0,1,"can't remember",0,0,0,0,0,0,0,0,1,0,"","Large","White","Bird","Agree",4,"Agree",4,"Disagree",4,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Don't know",NA,"Neutral",3,"Disagree",4,"Neutral",3,"Neutral",3,"Disagree",4,NA,"Agree",4,"Yes","","No","",1,1,0,0,0,0,0,0,0,0,0,0,0,"","3-4 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Agree",5,"Agree",5,"Neither agree or disagree",4,22,"Neither concerned or unconcerned","Concerned",7,"Sometimes",4,"Never",1,"Never",1,"Never",1,7,"No","","Neither agree or disagree",3,"Disagree",2,"Neither agree or disagree",3,"Disagree",4,12,"65+","Male","","West Midlands",NA,"Sub-urban","SY2","No","No","","","Postgraduate degree (Masters; Doctorate)","","Retired","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","65+",117
"3195","NatRep","692676-692667-71745741",802,"00:04:25","03/02/2021","13:15:17","03/02/2021","13:19:42","Yes","D",0,"Not sure","DONT KNOW","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0.5,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1.1,0,0,0,0,1,NA,NA,"","Not sure","","I am involved in the effort",0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,0,0,0,0,0,0,"","OK ","Cute ","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Yes","","Yes","",1,0,0,0,0,0,0,0,0,0,0,0,0,"","None",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Occasionally",3,12,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"35-44","Male","","East Midlands",NA,"Rural","NG12","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Sales","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",73
"3203","NatRep","692676-692667-71746523",810,"00:04:26","03/02/2021","13:23:11","03/02/2021","13:27:37","No","D",0,"Not sure","do not no","FALSE",0,"FALSE",0,"FALSE",1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0.5,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,2.1,0,0,0,1,0,NA,NA,"","No","","I know something about it",0,0,0,0,0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,"","","","","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3,"Neutral",3,"No","not at all","No","none",1,0,0,0,0,0,0,0,0,0,0,0,0,"","3-4 days",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Sometimes",4,"Sometimes",4,"Sometimes",4,"Sometimes",4,16,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"35-44","Male","","Scotland",NA,"Sub-urban","g42","No","No","","","Further Education","","Sales","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","none","35-44",74
"3207","NatRep","692676-692667-71746574",814,"00:05:09","03/02/2021","13:23:49","03/02/2021","13:28:58","Yes","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Neutral",3,"Neutral",3,"Strongly disagree",5,"Disagree",4,"Don't know",NA,"Neutral",3,"Neutral",3,"Agree",2,"Don't know",NA,"Don't know",NA,"Neutral",3,"Neutral",3,"Neutral",3,"Don't know",NA,NA,"Neutral",3,"Not sure","","No","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","None",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Agree",5,"Agree",5,"Completely agree",7,"Neither agree or disagree",4,31,"Concerned","Concerned",8,"Never",1,"Never",1,"Never",1,"Never",1,4,"No","","Disagree",2,"Neither agree or disagree",3,"Disagree",2,"Neither agree or disagree",3,10,"65+","Male","","North West",NA,"Sub-urban","BL3","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Retired","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","65+",104
"3211","NatRep","692676-692667-71747122",818,"00:03:41","03/02/2021","13:29:52","03/02/2021","13:33:33","No","B",1,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,2,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,1,0,0,0,0,0,0,0,"","","","","Agree",4,"Strongly agree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Agree",4,"Strongly disagree",5,"Strongly disagree",5,"Disagree",4,"Disagree",4,"Agree",4,"Agree",4,"Strongly disagree",5,4.57,"Strongly agree",5,"Yes","","No","",1,1,0,0,1,1,0,0,1,0,0,0,0,"","3-4 days",1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,"","Agree",5,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Agree",5,49,"Extremely concerned","Extremely concerned",10,"Frequently",5,"Occasionally",3,"Never",1,"Sometimes",4,13,"No","","Agree",4,"Agree",4,"Neither agree or disagree",3,"Disagree",4,15,"45-54","Female","","West Midlands",NA,"Sub-urban","B68","No","No","","","Postgraduate degree (Masters; Doctorate)","","Architecture, Energy & Engineering","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",49
"3227","NatRep","692676-692667-71749574",834,"00:04:13","03/02/2021","13:55:14","03/02/2021","13:59:27","No","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,0,0,0,0,0,0,0,0,"","","","","Agree",4,"Neutral",3,"Disagree",4,"Disagree",4,"Agree",4,"Agree",4,"Neutral",3,"Disagree",4,"Disagree",4,"Neutral",3,"Disagree",4,"Neutral",3,"Agree",4,"Neutral",3,3.64,"Neutral",3,"Not sure","","Not sure","",1,1,0,0,1,1,0,0,1,0,0,0,0,"","Every day, 7 days",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"","Completely agree",7,"Completely agree",7,"Completely agree",7,"Strongly agree",6,"Completely agree",7,"Strongly agree",6,84,"Concerned","Extremely concerned",9,"Sometimes",4,"Frequently",5,"Never",1,"Rarely",2,12,"No","","Neither agree or disagree",3,"Agree",4,"Neither agree or disagree",3,"Neither agree or disagree",3,13,"55-64","Male","","North East",NA,"Sub-urban","DH6","No","No","","","Further Education","","Transport","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","55-64",65
"3232","NatRep","692676-692667-71750331",839,"00:03:35","03/02/2021","14:02:43","03/02/2021","14:06:18","Yes","B",1,"Yes","I don’t know","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,NA,NA,"","No","","I have heard something but don’t know much",0,0,1,0,1,0,0,0,0,0,0,"",1,0,0,0,1,0,0,0,0,0,"","Beautiful","","","Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly agree",1,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,3.86,"Strongly agree",5,"Yes","None","Yes","None",0,0,0,0,0,0,0,0,0,0,0,1,0,"","3-4 days",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,59,"Concerned","Concerned",8,"Frequently",5,"Frequently",5,"Sometimes",4,"Sometimes",4,18,"No","","Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,16,"35-44","Female","","Wales",NA,"Sub-urban","NP11","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Unemployed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Na","35-44",46
"3249","NatRep","692676-692667-71752804",856,"00:03:33","03/02/2021","14:25:15","03/02/2021","14:28:48","Yes","D",0,"Not sure","","Don't know",0,"FALSE",0,"FALSE",1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.4,0,0,1,0,0,NA,NA,"","No","","I know something about it",0,0,0,1,0,0,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,"","","","","Neutral",3,"Disagree",2,"Neutral",3,"Neutral",3,"Disagree",2,"Strongly disagree",1,"Neutral",3,"Strongly agree",1,"Don't know",NA,"Strongly agree",1,"Don't know",NA,"Agree",4,"Don't know",NA,"Don't know",NA,NA,"Strongly agree",5,"No","","No","",0,0,0,0,0,1,0,0,0,0,0,0,0,"","3-4 days",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Disagree",3,"Strongly disagree",2,"Strongly disagree",2,"Completely disagree",1,"Disagree",3,"Disagree",3,7,"Not at all concerned","Not very concerned",3,"Never",1,"Never",1,"Rarely",2,"Never",1,5,"No","","Disagree",2,"Disagree",2,"Neither agree or disagree",3,"Neither agree or disagree",3,10,"25-34","Female","","West Midlands",NA,"Urban","B8","No","No","","","Postgraduate degree (Masters; Doctorate)","","Environment, Nature & Wildlife","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",44
